"year","treatment","plant.height","grain.yield","grain.weight","genetic_group"
2012,"watered",245,10.12,268,"Iodent"
2012,"watered",250,10.478,213,"Iodent"
2012,"watered",245,11.513,243,"Other"
2012,"watered",245,9.637,194,"Other"
2012,"watered",240,9.008,230,"Stiff_Stalk"
2012,"watered",250,9.24,226,"Other"
2012,"watered",270,9.796,221,"Lancaster"
2012,"watered",230,9.143,250,"Lancaster"
2012,"watered",260,10.609,260,"Lancaster"
2012,"watered",275,11,254,"Stiff_Stalk"
2012,"watered",250,11.368,251,"Iodent"
2012,"watered",240,11.231,282,"Iodent"
2012,"watered",265,6.772,265,"Other"
2012,"watered",280,9.709,191,"Other"
2012,"watered",240,7.797,275,"Other"
2012,"watered",255,8.464,247,"Other"
2012,"watered",255,9.385,209,"Other"
2012,"watered",260,10.793,227,"Iodent"
2012,"watered",265,11.654,230,"Stiff_Stalk"
2012,"watered",245,9.721,247,"Stiff_Stalk"
2012,"watered",285,12.256,208,"Stiff_Stalk"
2012,"watered",255,7.31,187,"Other"
2012,"watered",265,10.868,207,"Lancaster"
2012,"watered",265,7.857,240,"Other"
2012,"watered",265,7.489,180,"Other"
2012,"watered",245,10.377,219,"Lancaster"
2012,"watered",245,9.388,268,"Iodent"
2012,"watered",270,11.042,233,"Stiff_Stalk"
2012,"watered",250,10.302,298,"Stiff_Stalk"
2012,"watered",255,10.911,242,"Stiff_Stalk"
2012,"watered",255,10.778,220,"Iodent"
2012,"watered",250,10.482,272,"Other"
2012,"watered",245,10.242,273,"Other"
2012,"watered",260,6.937,240,"Other"
2012,"watered",245,9.587,227,"Lancaster"
2012,"watered",250,10.842,270,"Iodent"
2012,"watered",250,10.275,247,"Other"
2012,"watered",265,11.947,270,"Lancaster"
2012,"watered",255,10.169,222,"Lancaster"
2012,"watered",260,9.698,280,"Stiff_Stalk"
2012,"watered",260,12.6,204,"Lancaster"
2012,"watered",255,8.085,233,"Other"
2012,"watered",240,10.34,246,"Iodent"
2012,"watered",240,12.63,249,"Lancaster"
2012,"watered",265,11.368,227,"Other"
2012,"watered",265,12.172,258,"Stiff_Stalk"
2012,"watered",265,9.8,264,"Stiff_Stalk"
2012,"watered",260,9.46,256,"Other"
2012,"watered",245,9.784,242,"Other"
2012,"watered",245,10.687,223,"Iodent"
2012,"watered",250,5.667,225,"Other"
2012,"watered",255,14.48,212,"Stiff_Stalk"
2012,"watered",260,8.716,252,"Stiff_Stalk"
2012,"watered",265,6.645,224,"Other"
2012,"watered",250,8.05,222,"Other"
2012,"watered",255,9.526,221,"Other"
2012,"watered",250,8.751,193,"Other"
2012,"watered",260,11.435,193,"Other"
2012,"watered",270,10.475,204,"Other"
2012,"watered",235,6.897,214,"Other"
2012,"watered",250,8.291,233,"Other"
2012,"watered",250,10.382,249,"Other"
2012,"watered",240,9.275,211,"Lancaster"
2012,"watered",255,11.92,249,"Lancaster"
2012,"watered",250,9.564,248,"Lancaster"
2012,"watered",235,7.645,192,"Other"
2012,"watered",250,10.387,244,"Lancaster"
2012,"watered",270,9.896,265,"Iodent"
2012,"watered",250,10.55,263,"Stiff_Stalk"
2012,"watered",265,11.645,224,"Lancaster"
2012,"watered",275,9.723,249,"Stiff_Stalk"
